,Name,Director_1,Director_2,Director_3,Duration,Metascore,Year,Ratings
0,The Dark Knight,Christopher Nolan,,,152,84,2008,9.0
1,The Lord of the Rings: The Return of the King,Peter Jackson,,,201,94,2003,9.0
2,Spider-Man: Across the Spider-Verse,Joaquim Dos San,Kemp Powers,Justin K. Thompson,140,86,2023,8.9
3,Inception,Christopher Nolan,,,148,74,2010,8.8
4,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,,,178,92,2001,8.8
5,The Lord of the Rings: The Two Towers,Peter Jackson,,,179,87,2002,8.8
6,The Matrix,Lana Wachowsk,Lilly Wachowski,,136,73,1999,8.7
7,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershn,,,124,82,1980,8.7
8,Soorarai Pottru,Sudha Kongara,,,153,,2020,8.7
9,Terminator 2: Judgment Day,James Cameron,,,137,75,1991,8.6
10,Star Wars,George Luca,,,121,90,1977,8.6
11,Shichinin no samurai,Akira Kurosawa,,,207,98,1954,8.6
12,Seppuku,Masaki Kobayash,,,133,85,1962,8.6
13,Sita Ramam,Hanu Raghavapud,,,163,,2022,8.6
14,Gladiator,Ridley S,,,155,67,2000,8.5
15,Léon,Luc Besson,,,110,64,1994,8.5
16,Raiders of the Lost Ark,Steven Spielberg,,,115,85,1981,8.4
17,Spider-Man: Into the Spider-Verse,Bob Persich,Peter Ramsey,Rodney Rothman,117,87,2018,8.4
18,The Dark Knight Rises,Christopher Nolan,,,164,78,2012,8.4
19,Avengers: Endgame,Anthony Ru,Joe Russo,,181,78,2019,8.4
20,Aliens,James Cameron,,,137,84,1986,8.4
21,Oldeuboi,Park Chan-wook,,,101,77,2003,8.4
22,Avengers: Infinity War,Anthony Ru,Joe Russo,,149,68,2018,8.4
23,Kaithi,Lokesh Kanagaraj,,,145,,2019,8.4
24,Asuran,Vetrimaaran,,,141,,2019,8.4
25,Top Gun: Maverick,Joseph Kosinsk,,,130,78,2022,8.3
26,Heat,Michael Mann,,,170,76,1995,8.3
27,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,,,131,58,1983,8.3
28,Mononoke-hime,Hayao Miyazak,,,134,76,1997,8.3
29,North by Northwest,Alfred Hitchcock,,,136,98,1959,8.3
30,Dangal,Nitesh Tiwa,,,161,,2016,8.3
31,Kantara,Rishab Shetty,,,148,,2022,8.3
32,K.G.F: Chapter 2,Prashanth Neel,,,168,,2022,8.3
33,Vikram,Lokesh Kanagaraj,,,175,,2022,8.3
34,Shershaah,Vishnuvardhan,,,135,,2021,8.3
35,Ratsasan,Ram Kuma,,,170,,2018,8.3
36,Indiana Jones and the Last Crusade,Steven Spielberg,,,127,65,1989,8.2
37,Jurassic Park,Steven Spielberg,,,127,68,1993,8.2
38,Batman Begins,Christopher Nolan,,,140,70,2005,8.2
39,Spider-Man: No Way Home,Jon Wa,,,148,71,2021,8.2
40,1917,Sam Mend,,,119,78,2019,8.2
41,Die Hard,John McTiernan,,,132,72,1988,8.2
42,Kill Bill: Vol. 1,Quentin Tarantin,,,111,69,2003,8.2
43,V for Vendetta,James McTeigu,,,132,62,2005,8.2
44,Ran,Akira Kurosawa,,,162,97,1985,8.2
45,Kimetsu no Yaiba: Mugen Ressha-Hen,Haruo Sotozak,,,117,72,2020,8.2
46,Baahubali 2: The Conclusion,S.S. Rajamoul,,,167,,2017,8.2
47,Gangs of Wasseypur,Anurag Kashyap,,,321,89,2012,8.2
48,Yôjinbô,Akira Kurosawa,,,110,93,1961,8.2
49,Uri: The Surgical Strike,Aditya Dha,,,138,,2019,8.2
50,Rangasthalam,Sukuma,,,170,,2018,8.2
51,K.G.F: Chapter 1,Prashanth Neel,,,156,,2018,8.2
