Popular,Name,Stars_1,Stars_2,Stars_3,Stars_4,Votes,Genre_1,Genre_2,Genre_3,Gross,Certification
39,The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,"2,750,814",Action,Crime,Drama,534.86,UA
311,The Lord of the Rings: The Return of the King,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,"1,902,836",Action,Adventure,Drama,377.85,U
13,Spider-Man: Across the Spider-Verse,hameik Moore,Hailee Steinfeld,Brian Tyree Henry,Luna Lauren Velez,"195,199",Animation,Action,Adventure,,U
43,Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,"2,441,597",Action,Adventure,Sci-Fi,292.58,UA
152,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,"1,931,115",Action,Adventure,Drama,315.54,U
541,The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,"1,717,110",Action,Adventure,Drama,342.55,UA
201,The Matrix,Keanu Reeve,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,"1,975,082",Action,Sci-Fi,,171.48,A
898,Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"1,332,429",Action,Adventure,Fantasy,290.48,UA
,Soorarai Pottru,uriy,Paresh Rawal,Aparna Balamurali,Vivek Prasanna,"120,148",Action,Drama,,,U
249,Terminator 2: Judgment Day,Arnold Schwarzenegge,Linda Hamilton,Edward Furlong,Robert Patrick,"1,133,331",Action,Sci-Fi,,204.84,A
344,Star Wars,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,"1,404,534",Action,Adventure,Fantasy,322.74,U
"1,598",Shichinin no samurai,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,"355,564",Action,Drama,,0.27,U
"2,653",Seppuku,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,"62,473",Action,Drama,Mystery,,
,Sita Ramam,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,Sumanth,"61,654",Action,Drama,Mystery,,U
161,Gladiator,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,"1,549,369",Action,Adventure,Drama,187.71,UA
241,Léon,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,"1,199,934",Action,Crime,Drama,19.50,A
71,Raiders of the Lost Ark,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,"1,006,010",Action,Adventure,,248.16,A
89,Spider-Man: Into the Spider-Verse,hameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,"613,892",Animation,Action,Adventure,190.24,U
111,The Dark Knight Rises,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,"1,759,643",Action,Drama,Thriller,448.14,UA
155,Avengers: Endgame,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,"1,199,149",Action,Adventure,Drama,858.37,UA
180,Aliens,igourney Weave,Michael Biehn,Carrie Henn,Paul Reiser,"738,271",Action,Adventure,Sci-Fi,85.16,U
264,Oldeuboi,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong,Kim Byeong-Ok,"603,000",Action,Drama,Mystery,0.71,A
370,Avengers: Infinity War,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,"1,141,133",Action,Adventure,Sci-Fi,678.82,UA
,Kaithi,Karthi,Narain,Arjun Das,George Maryan,"36,907",Action,Adventure,Crime,,UA
,Asuran,Dhanush,Manju Warrier,Prakash Raj,Pasupathy,"31,595",Action,Drama,,,UA
55,Top Gun: Maverick,Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,"614,942",Action,Drama,,718.73,UA
140,Heat,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,"684,983",Action,Crime,Drama,67.44,A
"1,056",Star Wars: Episode VI - Return of the Jedi,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"1,086,195",Action,Adventure,Fantasy,309.13,U
"1,132",Mononoke-hime,Yôji Matsud,Yuriko Ishida,Yûko Tanaka,Billy Crudup,"411,402",Animation,Action,Adventure,2.38,U
"2,349",North by Northwest,Cary Gran,Eva Marie Saint,James Mason,Jessie Royce Landis,"336,849",Action,Adventure,Mystery,13.28,U
"3,482",Dangal,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,"199,571",Action,Biography,Drama,12.39,U
"4,571",Kantara,Rishab Shetty,Kishore Kumar G.,Achyuth Kumar,Sapthami Gowda,"97,089",Action,Adventure,Drama,,UA
,K.G.F: Chapter 2,Yash,Sanjay Dutt,Raveena Tandon,Srinidhi Shetty,"141,293",Action,Crime,Drama,6.60,UA
,Vikram,Kamal Haasan,Vijay Sethupathi,Fahadh Faasil,Narain,"64,978",Action,Crime,Thriller,,UA
,Shershaah,idharth Malho,Kiara Advani,Shiv Panditt,Pranay Pachauri,"125,700",Action,Biography,Drama,,UA
,Ratsasan,Vishnu Vishal,Amala Paul,Radha Ravi,Sangili Murugan,"47,571",Action,Crime,Drama,,UA
104,Indiana Jones and the Last Crusade,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,"786,027",Action,Adventure,,197.17,U
121,Jurassic Park,m Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,"1,025,323",Action,Adventure,Sci-Fi,402.45,UA
128,Batman Begins,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,"1,519,511",Action,Crime,Drama,206.85,UA
132,Spider-Man: No Way Home,Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,"817,503",Action,Adventure,Fantasy,804.75,UA
305,1917,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,"632,240",Action,Drama,War,159.23,R
413,Die Hard,Bruce Willi,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,"907,490",Action,Thriller,,83.01,A
587,Kill Bill: Vol. 1,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,"1,149,839",Action,Crime,Thriller,70.10,A
971,V for Vendetta,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,"1,147,609",Action,Drama,Sci-Fi,70.51,UA
"2,298",Ran,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,"130,623",Action,Drama,War,4.14,Not Rated
"3,130",Kimetsu no Yaiba: Mugen Ressha-Hen,Natsuki Hanae,Akari Kitô,Yoshitsugu Matsuoka,Hiro Shimono,"66,421",Animation,Action,Adventure,47.70,UA
"4,610",Baahubali 2: The Conclusion,Prabh,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,"108,298",Action,Drama,,20.19,UA
,Gangs of Wasseypur,Manoj Bajpayee,Nawazuddin Siddiqui,Tigmanshu Dhulia,Richa Chadha,"100,011",Action,Comedy,Crime,,A
,Yôjinbô,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,"126,969",Action,Drama,Thriller,,U
,Uri: The Surgical Strike,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,"68,469",Action,Drama,History,4.19,UA
,Rangasthalam,Ram Charan,Samantha Ruth Prabhu,Aadhi,Jagapathi Babu,"26,400",Action,Drama,,3.51,UA
,K.G.F: Chapter 1,Yash,Srinidhi Shetty,Ramachandra Raju,Archana Jois,"92,769",Action,Crime,Drama,,UA
,Sherlock Jr.,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,"53,325",Action,Comedy,Romance,0.98,
,Dag II,Caglar Ertugrul,Ufuk Bayraktar,Ahu Türkpençe,Murat Serezli,"109,381",Action,Drama,War,,
,Vikram Vedha,Madhavan,Vijay Sethupathi,Shraddha Srinath,Kathir,"48,319",Action,Crime,Drama,,UA
,Paan Singh Tomar,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,"37,201",Action,Biography,Crime,0.04,UA
