MoviesName,Stars_1,Stars_2,Stars_3,Stars_4,Votes,Genre_1,Genre_2,Genre_3,Gross,Certification,Popularity
The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,"2,761,452",Action,Crime,Drama,534.86,UA,40
The Lord of the Rings: The Return of the King,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,"1,907,397",Action,Adventure,Drama,377.85,U,299
Spider-Man: Across the Spider-Verse,hameik Moore,Hailee Steinfeld,Brian Tyree Henry,Luna Lauren Velez,"217,406",Animation,Action,Adventure,nan,U,27
Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,"2,451,672",Action,Adventure,Sci-Fi,292.58,UA,36
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,"1,935,556",Action,Adventure,Drama,315.54,U,145
The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,"1,721,166",Action,Adventure,Drama,342.55,UA,543
The Matrix,Keanu Reeve,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,"1,980,022",Action,Sci-Fi,nan,171.48,A,234
Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"1,335,402",Action,Adventure,Fantasy,290.48,UA,755
Soorarai Pottru,uriy,Paresh Rawal,Urvashi,Aparna Balamurali,"120,323",Action,Drama,nan,nan,U,nan
Terminator 2: Judgment Day,Arnold Schwarzenegge,Linda Hamilton,Edward Furlong,Robert Patrick,"1,136,002",Action,Sci-Fi,nan,204.84,A,269
Star Wars,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,"1,407,408",Action,Adventure,Fantasy,322.74,U,329
Shichinin no samurai,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,"356,274",Action,Drama,nan,0.27,U,"1,353"
Seppuku,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,"62,846",Action,Drama,Mystery,nan,nan,"2,515"
Sita Ramam,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,Sumanth,"61,982",Action,Drama,Mystery,nan,U,nan
Gladiator,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,"1,553,385",Action,Adventure,Drama,187.71,UA,171
Léon,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,"1,202,898",Action,Crime,Drama,19.50,A,246
The Dark Knight Rises,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,"1,765,679",Action,Drama,Thriller,448.14,UA,97
Avengers: Endgame,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,"1,204,559",Action,Adventure,Drama,858.37,UA,126
Spider-Man: Into the Spider-Verse,hameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,"619,358",Animation,Action,Adventure,190.24,U,128
Raiders of the Lost Ark,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,"1,008,345",Action,Adventure,nan,248.16,A,169
Aliens,igourney Weave,Michael Biehn,Carrie Henn,Paul Reiser,"739,737",Action,Adventure,Sci-Fi,85.16,U,263
Oldeuboi,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong,Kim Byeong-Ok,"604,895",Action,Drama,Mystery,0.71,A,265
Avengers: Infinity War,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,"1,146,123",Action,Adventure,Sci-Fi,678.82,UA,328
Kaithi,Karthi,Narain,Arjun Das,George Maryan,"37,072",Action,Adventure,Crime,nan,UA,nan
Asuran,Dhanush,Manju Warrier,Prakash Raj,Pasupathy,"31,692",Action,Drama,nan,nan,UA,nan
Top Gun: Maverick,Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,"620,802",Action,Drama,nan,718.73,UA,63
Heat,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,"687,331",Action,Crime,Drama,67.44,A,134
North by Northwest,Cary Gran,Eva Marie Saint,James Mason,Jessie Royce Landis,"337,433",Action,Adventure,Mystery,13.28,U,826
Star Wars: Episode VI - Return of the Jedi,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"1,088,464",Action,Adventure,Fantasy,309.13,U,902
Mononoke-hime,Yôji Matsud,Yuriko Ishida,Yûko Tanaka,Billy Crudup,"412,787",Animation,Action,Adventure,2.38,U,"1,077"
Dangal,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,"200,215",Action,Biography,Drama,12.39,U,"3,306"
Kantara,Rishab Shetty,Kishore Kumar G.,Achyuth Kumar,Sapthami Gowda,"97,364",Action,Adventure,Drama,nan,UA,"4,869"
Vikram,Kamal Haasan,Vijay Sethupathi,Fahadh Faasil,Narain,"65,305",Action,Crime,Thriller,nan,UA,nan
K.G.F: Chapter 2,Yash,Sanjay Dutt,Raveena Tandon,Srinidhi Shetty,"141,629",Action,Crime,Drama,6.60,UA,nan
Shershaah,idharth Malho,Kiara Advani,Shiv Panditt,Pranay Pachauri,"125,905",Action,Biography,Drama,nan,UA,nan
Ratsasan,Vishnu Vishal,Amala Paul,Radha Ravi,Sangili Murugan,"47,719",Action,Crime,Drama,nan,UA,nan
